num_arms,n_arm,d1,d2,d3,d4,period_blocks,p0,OR1,OR2,OR3,OR4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.804
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.796
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,timemachine,0.812
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.836
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.846
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,timemachine,0.827
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.762
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.775
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,timemachine,0.78
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.802
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.782
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,timemachine,0.816
