num_arms,n_arm,d1,d2,d3,period_blocks,p0,OR1,OR2,OR3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.785
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.786
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.823
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.807
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.83
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.86
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.789
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.769
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.788
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.829
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.841
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.862
